CGATS.17

ORIGINATOR	i1Profiler - X-Rite, Inc.
INSTRUMENTATION	i1Pro ; Serial number 850763
DESCRIPTOR	차트 917 패치v
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	D50
OBSERVER_ANGLE	2
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	DEVCALSTD
DEVCALSTD	XRGA
CREATED2025-11-24 22:18:11

NUMBER_OF_FIELDS	49
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	LAB_C	LAB_H
END_DATA_FORMAT

NUMBER_OF_SETS	917
BEGIN_DATA
1	A1	0	0	0	0.04005	0.04013	0.03085	23.71	1.97	1.6	2.54	38.98
1	A2	0	127	127	0.08331	0.10904	0.15342	39.42	-17.83	-18.6	25.76	226.22
2	A3	0	255	255	0.18765	0.26219	0.42818	58.24	-30.27	-32.71	44.56	227.22
3	A4	0	63	63	0.06269	0.07263	0.07907	32.4	-7.55	-8.07	11.06	226.9
4	A5	0	191	191	0.11182	0.15319	0.2616	46.07	-23.7	-29.36	37.73	231.08
5	A6	30	63	30	0.07449	0.08085	0.05983	34.16	-3.26	3.08	4.48	136.55
6	A7	0	224	224	0.12144	0.17296	0.31219	48.63	-27.95	-33.22	43.41	229.92
7	A8	0	94	94	0.07157	0.09013	0.11267	36.01	-14.04	-13.32	19.35	223.48
8	A9	30	255	224	0.22746	0.32676	0.39208	63.9	-35.44	-18.31	39.89	207.32
9	A10	30	94	63	0.07365	0.08747	0.0776	35.49	-9.81	-2.17	10.05	192.46
10	A11	30	224	191	0.16406	0.22742	0.29935	54.81	-28.14	-20.56	34.85	216.16
11	A12	63	0	255	0.14571	0.1162	0.23842	40.61	22.33	-34.62	41.2	302.82
12	A13	30	127	94	0.08774	0.10892	0.11564	39.4	-13.89	-8.37	16.21	211.07
13	A14	94	0	224	0.16709	0.12007	0.19213	41.23	32.09	-24.37	40.3	322.78
14	A15	30	191	160	0.12732	0.16622	0.21268	47.78	-20.3	-17.31	26.68	220.46
15	A16	63	63	0	0.10988	0.11231	0.05617	39.97	1.18	14.84	14.88	85.47
16	A1	63	191	127	0.17184	0.20662	0.17765	52.58	-14.22	-1.63	14.31	186.54
17	A2	94	30	255	0.19744	0.15705	0.28147	46.59	24.94	-31.83	40.44	308.08
18	A3	0	160	160	0.09527	0.12823	0.19571	42.5	-20.98	-22.94	31.09	227.56
19	A4	127	0	191	0.17035	0.12179	0.1482	41.5	32.72	-13.7	35.47	337.28
20	A5	63	127	63	0.14611	0.15907	0.10581	46.85	-4.35	7.51	8.68	120.07
21	A6	63	255	191	0.30236	0.41735	0.38684	70.69	-33.96	-5.9	34.47	189.86
22	A7	63	94	30	0.11833	0.1281	0.069	42.48	-3.57	13.36	13.83	104.98
23	A8	63	224	160	0.24144	0.30985	0.28168	62.5	-23.19	-4.44	23.61	190.83
24	A9	94	94	0	0.14413	0.15302	0.05922	46.04	-2.08	23.86	23.95	94.97
25	A10	94	224	127	0.27047	0.34015	0.23663	64.97	-21.72	7.73	23.06	160.42
26	A11	127	30	224	0.2113	0.16433	0.2199	47.54	27.58	-19.15	33.58	325.22
27	A12	63	160	94	0.13974	0.16287	0.12101	47.35	-10.42	3.75	11.08	160.19
28	A13	191	0	127	0.2033	0.14127	0.11911	44.41	37.19	-0.75	37.2	358.84
