CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro ; Serial number 850763"
DESCRIPTOR	"P2P51 (i1Pro-i1iO)"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
DENSITY_FILTER_STANDARD	"Status E"
DENSITY_WHITE_REFERENCE	"Absolute white"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2025-11-07T02:03:38"

NUMBER_OF_FIELDS	54
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	LAB_C	LAB_H	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	D_VIS	D_RED	D_GREEN	D_BLUE	
END_DATA_FORMAT

NUMBER_OF_SETS	300
BEGIN_DATA
1	Y1	  100.00	  100.00	  100.00	    0.00	 0.14550	 0.14819	 0.11744	   45.38	    1.60	    1.42	    2.14	   41.46	    0.1355	    0.0937	    0.1125	    0.1187	    0.1322	    0.1382	    0.1401	    0.1411	    0.1414	    0.1416	    0.1456	    0.1561	    0.1652	    0.1620	    0.1523	    0.1473	    0.1449	    0.1370	    0.1312	    0.1363	    0.1462	    0.1538	    0.1564	    0.1572	    0.1592	    0.1620	    0.1660	    0.1713	    0.1769	    0.1794	    0.1786	    0.1761	    0.1733	    0.1727	    0.1779	    0.1898	    0.83	    0.80	    0.83	    0.86	
13	X1	    5.00	    0.00	    0.00	    0.00	 0.76830	 0.80289	 0.70756	   91.81	   -1.18	   -4.12	    4.28	  254.06	    0.4209	    0.3997	    0.4167	    0.5391	    0.7355	    0.8405	    0.8701	    0.8761	    0.8801	    0.8782	    0.8736	    0.8679	    0.8598	    0.8500	    0.8403	    0.8276	    0.8137	    0.7990	    0.7839	    0.7761	    0.7688	    0.7652	    0.7646	    0.7708	    0.7846	    0.8040	    0.8258	    0.8447	    0.8602	    0.8684	    0.8712	    0.8702	    0.8674	    0.8657	    0.8693	    0.8785	    0.10	    0.11	    0.09	    0.09	
25	W1	   10.00	    0.00	    0.00	    0.00	 0.74440	 0.78466	 0.70638	   90.99	   -2.49	   -5.43	    5.97	  245.36	    0.4130	    0.3629	    0.3928	    0.5409	    0.7319	    0.8379	    0.8687	    0.8753	    0.8793	    0.8775	    0.8728	    0.8667	    0.8581	    0.8474	    0.8363	    0.8218	    0.8049	    0.7858	    0.7653	    0.7522	    0.7412	    0.7351	    0.7324	    0.7369	    0.7493	    0.7677	    0.7891	    0.8090	    0.8268	    0.8360	    0.8384	    0.8357	    0.8302	    0.8264	    0.8314	    0.8464	    0.11	    0.13	    0.09	    0.09	
37	V1	   20.00	    0.00	    0.00	    0.00	 0.70049	 0.75096	 0.70516	   89.44	   -4.99	   -8.00	    9.43	  238.03	    0.4184	    0.3526	    0.3969	    0.5325	    0.7293	    0.8351	    0.8670	    0.8748	    0.8789	    0.8770	    0.8721	    0.8653	    0.8557	    0.8435	    0.8296	    0.8109	    0.7880	    0.7605	    0.7298	    0.7072	    0.6900	    0.6800	    0.6738	    0.6748	    0.6850	    0.7013	    0.7214	    0.7429	    0.7636	    0.7745	    0.7757	    0.7705	    0.7607	    0.7535	    0.7606	    0.7836	    0.13	    0.17	    0.10	    0.09	
49	U1	   30.00	    0.00	    0.00	    0.00	 0.65143	 0.71268	 0.70633	   87.62	   -7.88	  -11.25	   13.73	  234.97	    0.5548	    0.4205	    0.4155	    0.5463	    0.7330	    0.8357	    0.8681	    0.8768	    0.8810	    0.8787	    0.8730	    0.8653	    0.8546	    0.8403	    0.8227	    0.7984	    0.7676	    0.7301	    0.6880	    0.6552	    0.6315	    0.6176	    0.6080	    0.6059	    0.6137	    0.6279	    0.6466	    0.6693	    0.6926	    0.7047	    0.7044	    0.6967	    0.6833	    0.6732	    0.6817	    0.7129	    0.16	    0.21	    0.11	    0.09	
61	T1	   40.00	    0.00	    0.00	    0.00	 0.60439	 0.67432	 0.70072	   85.72	  -10.55	  -14.01	   17.54	  233.02	    0.3875	    0.3855	    0.3965	    0.5339	    0.7229	    0.8252	    0.8606	    0.8713	    0.8759	    0.8739	    0.8681	    0.8598	    0.8479	    0.8317	    0.8108	    0.7813	    0.7434	    0.6970	    0.6455	    0.6049	    0.5765	    0.5599	    0.5479	    0.5432	    0.5495	    0.5615	    0.5785	    0.6012	    0.6257	    0.6386	    0.6375	    0.6279	    0.6118	    0.5997	    0.6093	    0.6456	    0.19	    0.26	    0.12	    0.09	
