CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro ; Serial number 850763"
DESCRIPTOR	"차트 105 패치a"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
DENSITY_FILTER_STANDARD	"Status T"
DENSITY_WHITE_REFERENCE	"Relative white"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2025-10-20T02:46:06"

NUMBER_OF_FIELDS	51
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	D_VIS	D_RED	D_GREEN	D_BLUE	
END_DATA_FORMAT

NUMBER_OF_SETS	105
BEGIN_DATA
1	-	  255.00	  255.00	  255.00	 0.82587	 0.86116	 0.73437	   94.36	   -0.86	   -2.09	    0.6795	    0.6836	    0.6763	    0.7017	    0.8047	    0.8735	    0.8944	    0.9004	    0.9068	    0.9068	    0.9028	    0.8971	    0.8901	    0.8830	    0.8781	    0.8727	    0.8677	    0.8621	    0.8538	    0.8508	    0.8449	    0.8421	    0.8418	    0.8436	    0.8471	    0.8521	    0.8602	    0.8691	    0.8786	    0.8868	    0.8942	    0.9001	    0.9057	    0.9102	    0.9133	    0.9175	    0.00	    0.00	    0.00	    0.00	
2	-	  255.00	  255.00	  255.00	 0.82507	 0.86033	 0.73343	   94.33	   -0.86	   -2.07	    0.6335	    0.6596	    0.6552	    0.7001	    0.8028	    0.8727	    0.8936	    0.8992	    0.9057	    0.9058	    0.9018	    0.8961	    0.8892	    0.8821	    0.8770	    0.8716	    0.8669	    0.8614	    0.8531	    0.8501	    0.8441	    0.8414	    0.8410	    0.8429	    0.8463	    0.8513	    0.8595	    0.8682	    0.8778	    0.8860	    0.8933	    0.8992	    0.9049	    0.9094	    0.9126	    0.9167	    0.00	    0.00	    0.00	    0.00	
3	-	  255.00	  255.00	  255.00	 0.82545	 0.86066	 0.73422	   94.34	   -0.85	   -2.12	    0.7196	    0.6491	    0.6601	    0.7008	    0.8070	    0.8738	    0.8945	    0.9002	    0.9066	    0.9064	    0.9022	    0.8966	    0.8895	    0.8824	    0.8774	    0.8721	    0.8672	    0.8616	    0.8534	    0.8504	    0.8444	    0.8417	    0.8413	    0.8431	    0.8466	    0.8515	    0.8597	    0.8685	    0.8782	    0.8863	    0.8936	    0.8994	    0.9052	    0.9097	    0.9130	    0.9170	    0.00	    0.00	    0.00	    0.00	
4	-	    0.00	    0.00	    0.00	 0.00207	 0.00215	 0.00158	    1.94	   -0.02	    0.36	   -0.0331	   -0.0101	   -0.0112	    0.0028	    0.0020	    0.0021	    0.0020	    0.0019	    0.0020	    0.0020	    0.0019	    0.0020	    0.0020	    0.0020	    0.0020	    0.0022	    0.0022	    0.0023	    0.0023	    0.0022	    0.0021	    0.0021	    0.0021	    0.0021	    0.0021	    0.0022	    0.0023	    0.0025	    0.0027	    0.0028	    0.0029	    0.0029	    0.0030	    0.0032	    0.0037	    0.0047	    2.60	    2.60	    2.61	    2.68	
5	-	    0.00	    0.00	    0.00	 0.00212	 0.00219	 0.00162	    1.97	    0.07	    0.34	   -0.0541	    0.0055	    0.0065	    0.0033	    0.0017	    0.0018	    0.0020	    0.0021	    0.0021	    0.0017	    0.0019	    0.0019	    0.0020	    0.0021	    0.0021	    0.0021	    0.0023	    0.0022	    0.0022	    0.0022	    0.0022	    0.0022	    0.0022	    0.0021	    0.0022	    0.0022	    0.0024	    0.0026	    0.0028	    0.0029	    0.0029	    0.0028	    0.0029	    0.0033	    0.0039	    0.0048	    2.59	    2.59	    2.61	    2.65	
6	-	    0.00	    0.00	    0.00	 0.00201	 0.00212	 0.00131	    1.92	   -0.13	    0.84	   -0.0539	   -0.0237	   -0.0124	   -0.0039	    0.0012	    0.0016	    0.0017	    0.0018	    0.0017	    0.0018	    0.0019	    0.0018	    0.0019	    0.0020	    0.0020	    0.0022	    0.0022	    0.0022	    0.0022	    0.0022	    0.0021	    0.0021	    0.0021	    0.0021	    0.0022	    0.0022	    0.0024	    0.0026	    0.0027	    0.0028	    0.0028	    0.0028	    0.0027	    0.0031	    0.0036	    0.0044	    2.60	    2.60	    2.62	    2.80	
