Number	R	G	B	X	Y	Z	L	a	b	
1	96.0784	100	100	75.894	79.6177	71.1428	91.513	-1.76452	-5.00581
2	92.1569	100	100	72.139	76.5952	70.2116	90.135	-3.56757	-6.54755
3	87.8431	100	100	69.4471	74.5687	70.4937	89.1906	-5.21437	-8.42935
4	83.9216	100	100	66.5369	72.322	70.4063	88.1233	-6.96448	-10.1909
5	80	100	100	63.683	70.0061	70.4165	86.9999	-8.53153	-12.1371
6	76.0784	100	100	62.2036	68.759	70.0826	86.3846	-9.27781	-12.8976
7	72.1569	100	100	59.8372	66.8407	70.0995	85.4235	-10.6844	-14.5699
8	67.8431	100	100	57.3572	64.7303	69.7934	84.3446	-12.0095	-16.1539
9	63.9216	100	100	55.3457	62.9474	69.2916	83.4147	-12.9759	-17.3027
10	60	100	100	53.3652	61.2524	69.242	82.5143	-14.1115	-18.8102
11	56.0784	100	100	51.8265	59.8941	69.1698	81.7806	-14.933	-20.0095
12	52.1569	100	100	49.8625	58.1522	68.9699	80.8234	-16.0088	-21.478
13	47.8431	100	100	48.1737	56.6122	68.9188	79.961	-16.8746	-22.9183
14	43.9216	100	100	45.7082	54.3371	68.2661	78.6579	-18.1452	-24.5685
15	40	100	100	43.3643	52.1362	67.9451	77.3622	-19.3417	-26.5076
16	36.0784	100	100	41.2709	50.1371	67.579	76.1534	-20.3975	-28.2546
17	32.1569	100	100	39.2416	48.0478	66.8877	74.8551	-21.0815	-29.8527
18	27.8431	100	100	35.7199	44.422	65.5994	72.5096	-22.4054	-32.6914
19	23.9216	100	100	33.6802	42.1383	65.2044	70.9662	-22.7224	-34.9799
20	20	100	100	30.3688	38.4014	63.5358	68.3154	-23.2374	-37.9591
21	16.0784	100	100	28.2372	35.9208	62.6839	66.4594	-23.3906	-40.3361
22	12.1569	100	100	26.5955	33.7543	61.4945	64.7671	-22.6596	-42.0922
23	7.84314	100	100	24.3973	31.0471	59.9372	62.5474	-22.3182	-44.3754
24	3.92157	100	100	22.2967	28.3006	58.0811	60.1594	-21.3751	-46.617
25	0	100	100	19.9867	25.1938	55.3245	57.2638	-19.8814	-48.7489
26	100	96.0784	100	79.1086	81.0491	70.7793	92.1535	1.90287	-3.57674
27	100	92.1569	100	78.0823	79.1044	69.8546	91.2815	3.62842	-4.24894
28	100	87.8431	100	77.5722	77.7324	69.386	90.6577	5.30046	-4.90049
